order           Size            NE              GradError       hmin             hmax            kmin            kmax 
               4               290744          36216           0.01469346205   0.3529846885    0.5802280072    1               1.747283747     
               4               290744          36216           0.01469346205   0.3529846885    0.5802280072    1               1.747283747     
               4               290744          36216           0.01469346205   0.3529846885    0.5802280072    1               1.747283747     
               4               290744          36216           0.01469346205   0.3529846885    0.5802280072    1               1.747283747     
               4               290744          36216           0.01469346205   0.3529846885    0.5802280072    1               1.747283747     
               4               290744          36216           0.01469346205   0.3529846885    0.5802280072    1               1.747283747     
               4               290744          36216           0.01469346205   0.3529846885    0.5802280072    1               1.747283747     
               4               290744          36216           0.01469346205   0.3529846885    0.5802280072    1               1.747283747     
               4               290744          36216           0.01469346205   0.3529846885    0.5802280072    1               1.747283747     
               
